timestamp;dataset;model;configuration;seed;status;duration_seconds;run_directory
2026-07-30T13:17:24+03:00;synthetic;janossy_gru;inference_permutations_1;44;success;241;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_44
2026-07-30T13:21:26+03:00;synthetic;janossy_gru;inference_permutations_1;45;success;240;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_45
2026-07-30T13:25:26+03:00;synthetic;janossy_gru;inference_permutations_1;46;success;239;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_46
2026-07-30T13:30:21+03:00;synthetic;janossy_gru;inference_permutations_5;42;success;294;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_5/seed_42
2026-07-30T13:35:17+03:00;synthetic;janossy_gru;inference_permutations_5;43;success;295;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_5/seed_43
2026-07-30T13:40:12+03:00;synthetic;janossy_gru;inference_permutations_5;44;success;294;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_5/seed_44
2026-07-30T13:45:08+03:00;synthetic;janossy_gru;inference_permutations_5;45;success;295;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_5/seed_45
2026-07-30T13:50:02+03:00;synthetic;janossy_gru;inference_permutations_5;46;success;293;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_5/seed_46
2026-07-30T13:56:04+03:00;synthetic;janossy_gru;inference_permutations_10;42;success;361;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_42
2026-07-30T14:02:07+03:00;synthetic;janossy_gru;inference_permutations_10;43;success;362;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_43
2026-07-30T14:08:16+03:00;synthetic;janossy_gru;inference_permutations_10;44;success;368;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_44
2026-07-30T14:14:19+03:00;synthetic;janossy_gru;inference_permutations_10;45;success;362;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_45
2026-07-30T14:20:20+03:00;synthetic;janossy_gru;inference_permutations_10;46;success;359;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_46
2026-07-30T14:28:35+03:00;synthetic;janossy_gru;inference_permutations_20;42;success;493;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_42
2026-07-30T14:36:51+03:00;synthetic;janossy_gru;inference_permutations_20;43;success;495;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_43
2026-07-30T14:45:07+03:00;synthetic;janossy_gru;inference_permutations_20;44;success;495;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_44
2026-07-30T14:53:23+03:00;synthetic;janossy_gru;inference_permutations_20;45;success;495;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_45
2026-07-30T15:01:38+03:00;synthetic;janossy_gru;inference_permutations_20;46;success;494;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/janossy_gru/inference_permutations_20/seed_46
2026-07-30T15:07:28+03:00;synthetic;pointnet_plus;centroids_4_2;42;success;349;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_4_2/seed_42
2026-07-30T15:13:20+03:00;synthetic;pointnet_plus;centroids_4_2;43;success;351;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_4_2/seed_43
2026-07-30T15:19:10+03:00;synthetic;pointnet_plus;centroids_4_2;44;success;349;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_4_2/seed_44
2026-07-30T15:25:01+03:00;synthetic;pointnet_plus;centroids_4_2;45;success;350;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_4_2/seed_45
2026-07-30T15:30:53+03:00;synthetic;pointnet_plus;centroids_4_2;46;success;351;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_4_2/seed_46
2026-07-30T15:37:23+03:00;synthetic;pointnet_plus;centroids_8_4;42;success;389;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_8_4/seed_42
2026-07-30T15:43:59+03:00;synthetic;pointnet_plus;centroids_8_4;43;success;395;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_8_4/seed_43
2026-07-30T15:50:39+03:00;synthetic;pointnet_plus;centroids_8_4;44;success;398;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_8_4/seed_44
2026-07-30T15:57:14+03:00;synthetic;pointnet_plus;centroids_8_4;45;success;394;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_8_4/seed_45
2026-07-30T16:03:46+03:00;synthetic;pointnet_plus;centroids_8_4;46;success;390;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_8_4/seed_46
2026-07-30T16:10:55+03:00;synthetic;pointnet_plus;centroids_16_8;42;success;428;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_16_8/seed_42
2026-07-30T16:18:02+03:00;synthetic;pointnet_plus;centroids_16_8;43;success;426;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_16_8/seed_43
2026-07-30T16:25:14+03:00;synthetic;pointnet_plus;centroids_16_8;44;success;431;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_16_8/seed_44
2026-07-30T16:32:27+03:00;synthetic;pointnet_plus;centroids_16_8;45;success;432;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_16_8/seed_45
2026-07-30T16:39:36+03:00;synthetic;pointnet_plus;centroids_16_8;46;success;428;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/synthetic/pointnet_plus/centroids_16_8/seed_46
2026-07-30T16:41:53+03:00;citeseer;deepset;default;42;success;136;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/deepset/default/seed_42
2026-07-30T16:44:10+03:00;citeseer;deepset;default;43;success;135;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/deepset/default/seed_43
2026-07-30T16:46:28+03:00;citeseer;deepset;default;44;success;137;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/deepset/default/seed_44
2026-07-30T16:48:46+03:00;citeseer;deepset;default;45;success;136;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/deepset/default/seed_45
2026-07-30T16:51:05+03:00;citeseer;deepset;default;46;success;137;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/deepset/default/seed_46
2026-07-30T17:00:42+03:00;citeseer;set_transformer;sab;42;success;575;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/sab/seed_42
2026-07-30T17:10:11+03:00;citeseer;set_transformer;sab;43;success;568;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/sab/seed_43
2026-07-30T17:19:39+03:00;citeseer;set_transformer;sab;44;success;567;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/sab/seed_44
2026-07-30T17:29:14+03:00;citeseer;set_transformer;sab;45;success;574;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/sab/seed_45
2026-07-30T17:38:49+03:00;citeseer;set_transformer;sab;46;success;574;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/sab/seed_46
2026-07-30T17:55:12+03:00;citeseer;set_transformer;isab_inducing_8;42;success;981;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/isab_inducing_8/seed_42
2026-07-30T18:11:31+03:00;citeseer;set_transformer;isab_inducing_8;43;success;978;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/isab_inducing_8/seed_43
2026-07-30T18:27:47+03:00;citeseer;set_transformer;isab_inducing_8;44;success;975;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/isab_inducing_8/seed_44
2026-07-30T18:44:09+03:00;citeseer;set_transformer;isab_inducing_8;45;success;981;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/isab_inducing_8/seed_45
2026-07-30T19:00:07+03:00;citeseer;set_transformer;isab_inducing_8;46;success;957;/home/jan/Documents/deeplearning/experiment_results/full_evaluation/citeseer/set_transformer/isab_inducing_8/seed_46
