dataset;model;configuration;seed;test_accuracy;macro_f1;weighted_f1;test_loss;best_validation_accuracy;best_epoch;trainable_parameters;training_time_seconds;inference_time_seconds;inference_time_per_node_ms;degree_0_accuracy;degree_0_count;degree_1_2_accuracy;degree_1_2_count;degree_3_5_accuracy;degree_3_5_count;degree_6_10_accuracy;degree_6_10_count;degree_gt_10_accuracy;degree_gt_10_count;precision_per_class;recall_per_class;checkpoint
synthetic;deepset;default;46;0,780780792236328;0,78077287279614;0,780800550742382;0,493250697851181;0,759759783744812;1;35458;58,9634958000006;0,0614596899995377;0,184563633632245;;0;;0;;0;0,780780792236328;333;;0;"{""0"": 0.7678571428571429, ""1"": 0.793939393939394}";"{""0"": 0.7914110429447853, ""1"": 0.7705882352941177}";results/model_evaluation/synthetic/deepset/default/seed_46/deepset_synthetic.pt
synthetic;janossy_gru;inference_permutations_1;42;0,756756782531738;0,756721654505606;0,756660225566091;0,566116034984589;0,774774789810181;4;118018;234,383595228999;0,269245761999628;0,808545831830714;;0;;0;;0;0,756756782531738;333;;0;"{""0"": 0.735632183908046, ""1"": 0.779874213836478}";"{""0"": 0.7852760736196319, ""1"": 0.7294117647058823}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_42/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_1;43;0,780780792236328;0,78077287279614;0,780800550742382;0,413647204637527;0,783783793449402;8;118018;238,885897579999;0,272177760001796;0,817350630636024;;0;;0;;0;0,780780792236328;333;;0;"{""0"": 0.7678571428571429, ""1"": 0.793939393939394}";"{""0"": 0.7914110429447853, ""1"": 0.7705882352941177}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_43/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_1;44;0,786786794662476;0,786594336982914;0,786459622120202;0,43188688158989;0,774774789810181;14;118018;237,229115858001;0,264427744998102;0,794077312306612;;0;;0;;0;0,786786794662476;333;;0;"{""0"": 0.7555555555555555, ""1"": 0.8235294117647058}";"{""0"": 0.8343558282208589, ""1"": 0.7411764705882353}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_44/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_1;45;0,738738715648651;0,738738738738739;0,738738738738739;0,540533125400543;0,753753781318665;4;118018;237,135991896997;0,268914391999715;0,807550726725871;;0;;0;;0;0,738738715648651;333;;0;"{""0"": 0.7235294117647059, ""1"": 0.754601226993865}";"{""0"": 0.754601226993865, ""1"": 0.7235294117647059}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_45/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_1;46;0,768768787384033;0,767350494043352;0,767732337238657;0,580721855163574;0,768768787384033;3;118018;235,684690492999;0,262861626000813;0,789374252254694;;0;;0;;0;0,768768787384033;333;;0;"{""0"": 0.7986111111111112, ""1"": 0.746031746031746}";"{""0"": 0.7055214723926381, ""1"": 0.8294117647058824}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_1/seed_46/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_10;42;0,750750780105591;0,750741759480543;0,750710290034815;0,569970726966858;0,777777791023254;4;118018;354,702111133003;2,61381600299865;7,84929730630224;;0;;0;;0;0,750750780105591;333;;0;"{""0"": 0.7325581395348837, ""1"": 0.7701863354037267}";"{""0"": 0.7730061349693251, ""1"": 0.7294117647058823}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_42/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_10;43;0,792792797088623;0,792673133318295;0,79277783535848;0,40494966506958;0,789789795875549;19;118018;355,440256049002;2,73803932500232;8,22234031532228;;0;;0;;0;0,792792797088623;333;;0;"{""0"": 0.7901234567901234, ""1"": 0.7953216374269005}";"{""0"": 0.7852760736196319, ""1"": 0.8}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_43/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_10;44;0,798798799514771;0,798682607714866;0,798580940516425;0,441129446029663;0,76576578617096;7;118018;361,991970019;2,63603693199912;7,91602682282017;;0;;0;;0;0,798798799514771;333;;0;"{""0"": 0.7696629213483146, ""1"": 0.832258064516129}";"{""0"": 0.8404907975460123, ""1"": 0.7588235294117647}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_44/janossy_gru_synthetic.pt
synthetic;janossy_gru;inference_permutations_10;45;0,744744718074799;0,744154095071091;0,743895685838867;0,499129146337509;0,750750780105591;10;118018;355,388048583001;2,62908038200112;7,89513628228565;;0;;0;;0;0,744744718074799;333;;0;"{""0"": 0.7096774193548387, ""1"": 0.7891156462585034}";"{""0"": 0.8098159509202454, ""1"": 0.6823529411764706}";results/model_evaluation/synthetic/janossy_gru/inference_permutations_10/seed_45/janossy_gru_synthetic.pt
