dataset;model;configuration;class_id;number_of_runs;precision_mean;precision_std;recall_mean;recall_std
citeseer;pointnet_plus;centroids_16_8;5;5;0,796153004689006;0,03465703235926106;0,7137254901960783;0,10150728710231206
citeseer;pointnet_plus;centroids_4_2;0;5;0,7266666666666667;0,24284196964738658;0,17236467236467237;0,11050679403543857
citeseer;pointnet_plus;centroids_4_2;1;5;0,6318016256422053;0,041281851508940835;0,7254237288135593;0,0592008447341457
citeseer;pointnet_plus;centroids_4_2;2;5;0,7536789297658862;0,025863210210024353;0,7402985074626866;0,08009795740297755
citeseer;pointnet_plus;centroids_4_2;3;5;0,7223926065581596;0,038071954222809234;0,8057142857142857;0,046947647786157114
citeseer;pointnet_plus;centroids_4_2;4;5;0,7498519532091972;0,029016222454347547;0,8217514124293785;0,04906479602078011
citeseer;pointnet_plus;centroids_4_2;5;5;0,7878953574605749;0,08961441866349151;0,7490196078431373;0,08364991767726095
citeseer;pointnet_plus;centroids_8_4;0;5;0,9428571428571428;0,12777531299998798;0,10541310541310542;0,0775470629228659
citeseer;pointnet_plus;centroids_8_4;1;5;0,631911034213317;0,04123075474340518;0,7322033898305085;0,05140932504441728
citeseer;pointnet_plus;centroids_8_4;2;5;0,7667445241501349;0,029402932071158013;0,7522388059701492;0,10155836320121792
citeseer;pointnet_plus;centroids_8_4;3;5;0,6967024109242975;0,06951624700524311;0,8171428571428571;0,02118913853455905
citeseer;pointnet_plus;centroids_8_4;4;5;0,7354097009775141;0,03459232887623053;0,8351977401129943;0,03534213293282268
citeseer;pointnet_plus;centroids_8_4;5;5;0,8167206966692092;0,06621629457308316;0,7137254901960783;0,08036824130164393
citeseer;set_transformer;isab_inducing_16;0;5;0,42521688837478316;0,25458072918695357;0,21082621082621084;0,163330751668102
citeseer;set_transformer;isab_inducing_16;1;5;0,5985951637512728;0,05710705276840585;0,7050847457627119;0,05439595435891936
citeseer;set_transformer;isab_inducing_16;2;5;0,7298711909826261;0,04712777090593294;0,7253731343283583;0,06297021823799698
citeseer;set_transformer;isab_inducing_16;3;5;0,7709863109863109;0,037527653383220366;0,7714285714285715;0,01428571428571429
citeseer;set_transformer;isab_inducing_16;4;5;0,7671745709778164;0,04794024461716064;0,8146327683615819;0,036775495090684944
citeseer;set_transformer;isab_inducing_16;5;5;0,7917479045421216;0,024287693036771845;0,803921568627451;0,06649343120711049
citeseer;set_transformer;isab_inducing_32;0;5;0,48487982605629665;0,3225298590927363;0,21025641025641026;0,14217066601509729
citeseer;set_transformer;isab_inducing_32;1;5;0,6070698999418396;0,03779076507228231;0,7016949152542373;0,05439595435891936
citeseer;set_transformer;isab_inducing_32;2;5;0,728838778468144;0,04220713774375954;0,7402985074626866;0,047900915032481256
citeseer;set_transformer;isab_inducing_32;3;5;0,7849455161671074;0,03726781451833396;0,7771428571428571;0,02962348764761106
citeseer;set_transformer;isab_inducing_32;4;5;0,7438131051507361;0,06591882241515198;0,8181920903954802;0,04986879910395225
citeseer;set_transformer;isab_inducing_32;5;5;0,7776050474107523;0,061083146248848044;0,7764705882352941;0,07916325191445628
citeseer;set_transformer;isab_inducing_8;0;5;0,603988603988604;0,41765837614953194;0,17834757834757836;0,19455372986804892
citeseer;set_transformer;isab_inducing_8;1;5;0,6461312986539689;0,04422090280692862;0,7389830508474576;0,08003877256350912
citeseer;set_transformer;isab_inducing_8;2;5;0,7259211438591213;0,030329158424696624;0,7522388059701492;0,050172347205885405
citeseer;set_transformer;isab_inducing_8;3;5;0,7380173193582416;0,03877255019227517;0,7885714285714286;0,030970690555255417
citeseer;set_transformer;isab_inducing_8;4;5;0,7599077724264137;0,05507861151122782;0,797909604519774;0,038286789624612384
citeseer;set_transformer;isab_inducing_8;5;5;0,7915242012889072;0,05850744342827798;0,7686274509803922;0,06106828040155856
citeseer;set_transformer;sab;0;5;0,6333333333333333;0,3415650255319866;0,05299145299145299;0,03488429193421347
citeseer;set_transformer;sab;1;5;0,6339004137788473;0,0552576569492433;0,7016949152542373;0,06842925165486897
citeseer;set_transformer;sab;2;5;0,7293600543600544;0,0665865533259671;0,755223880597015;0,07432775879396257
citeseer;set_transformer;sab;3;5;0,7400203437359842;0,028304806664435054;0,8171428571428571;0,03697765458727081
citeseer;set_transformer;sab;4;5;0,7384246971405442;0,05962674840893502;0,8484180790960452;0,03817407558281132
citeseer;set_transformer;sab;5;5;0,801486703772418;0,03690290607827429;0,7764705882352941;0,0701511522352875
synthetic;deepset;default;0;5;0,7451299437198903;0,038451785431747244;0,8098159509202454;0,01890924540788032
synthetic;deepset;default;1;5;0,8004750415116879;0,014719429524971569;0,731764705882353;0,05605237293916047
synthetic;janossy_gru;inference_permutations_1;0;5;0,7562370810393123;0,02926346764025083;0,7742331288343558;0,047797671609282076
synthetic;janossy_gru;inference_permutations_1;1;5;0,7795951985132378;0,03117391874944665;0,7588235294117647;0,04342595017715709
synthetic;janossy_gru;inference_permutations_10;0;5;0,754895405369704;0,032829321335053514;0,8;0,026244478081236138
synthetic;janossy_gru;inference_permutations_10;1;5;0,7964124812993651;0,02252036597966429;0,7494117647058823;0,045488505715720495
synthetic;janossy_gru;inference_permutations_20;0;5;0,760557128668283;0,03211472642420651;0,7987730061349693;0,025810655175414268
synthetic;janossy_gru;inference_permutations_20;1;5;0,7971166963125903;0,02215293677996045;0,7576470588235293;0,043106049318967686
synthetic;janossy_gru;inference_permutations_5;0;5;0,7536842316570992;0,03233325896977218;0,796319018404908;0,037668911492046014
synthetic;janossy_gru;inference_permutations_5;1;5;0,793859415575646;0,031613982647392375;0,7494117647058823;0,04254043466297539
synthetic;pointnet_plus;centroids_16_8;0;5;0,7434631165165481;0,037643812642121584;0,8355828220858896;0,08788223106488335
synthetic;pointnet_plus;centroids_16_8;1;5;0,8285986338843563;0,06190027882440674;0,7176470588235294;0,07990045710121249
synthetic;pointnet_plus;centroids_4_2;0;5;0,7347437683959929;0,04273652648317078;0,8269938650306748;0,09041537878253027
synthetic;pointnet_plus;centroids_4_2;1;5;0,8190330896012318;0,058723073108200075;0,7058823529411764;0,09692504148990633
synthetic;pointnet_plus;centroids_8_4;0;5;0,7353424862499474;0,057933374453879055;0,8429447852760736;0,09754408301522352
synthetic;pointnet_plus;centroids_8_4;1;5;0,8345509325424004;0,06522663674468657;0,6964705882352942;0,11900684752477676
synthetic;set_transformer;isab_inducing_16;0;5;0,7466010986156144;0,04918111045439827;0,7987730061349694;0,0769198921161103
synthetic;set_transformer;isab_inducing_16;1;5;0,7967776784221962;0,05193980682306585;0,7341176470588235;0,08165672090651298
synthetic;set_transformer;isab_inducing_32;0;5;0,7549959054344203;0,03634401007100738;0,7779141104294478;0,06986865510433343
synthetic;set_transformer;isab_inducing_32;1;5;0,7832679048081866;0,0466501671431639;0,7552941176470588;0,05832138615503737
synthetic;set_transformer;isab_inducing_8;0;5;0,7281238458900067;0,04888847550134869;0,807361963190184;0,08099553700399703
synthetic;set_transformer;isab_inducing_8;1;5;0,7979342120557666;0,05199595266194098;0,7035294117647058;0,08345895951828919
synthetic;set_transformer;sab;0;5;0,7527300241861574;0,04219220869770389;0,7840490797546013;0,063667859210403
synthetic;set_transformer;sab;1;5;0,7858133992864531;0,04849044508425769;0,7505882352941177;0,060218747727386945
