dataset;model;configuration;number_of_runs;test_accuracy_mean;test_accuracy_std;macro_f1_mean;macro_f1_std;weighted_f1_mean;weighted_f1_std;test_loss_mean;test_loss_std;best_validation_accuracy_mean;best_validation_accuracy_std;best_epoch_mean;best_epoch_std;trainable_parameters_mean;trainable_parameters_std;training_time_seconds_mean;training_time_seconds_std;inference_time_seconds_mean;inference_time_seconds_std;inference_time_per_node_ms_mean;inference_time_per_node_ms_std;degree_0_accuracy_mean;degree_0_accuracy_std;degree_0_count_mean;degree_0_count_std;degree_1_2_accuracy_mean;degree_1_2_accuracy_std;degree_1_2_count_mean;degree_1_2_count_std;degree_3_5_accuracy_mean;degree_3_5_accuracy_std;degree_3_5_count_mean;degree_3_5_count_std;degree_6_10_accuracy_mean;degree_6_10_accuracy_std;degree_6_10_count_mean;degree_6_10_count_std;degree_gt_10_accuracy_mean;degree_gt_10_accuracy_std;degree_gt_10_count_mean;degree_gt_10_count_std
citeseer;set_transformer;isab_inducing_8;5;0,7225225090980528;0,017587437522284956;0,6611681924292331;0,03581169346215758;0,7065130615051037;0,02179481479260671;0,924639022350312;0,046254781517735134;0,7423423528671264;0,026299874645205133;13,6;3,5071355833500366;1465478,0;0,0;969,1590113401996;9,937404589106874;0,7427243221987736;0,008527548620607185;2,230403369966288;0,02560825411593806;0,48000000119209296;0,1594913783299317;5,8;2,04939015319192;0,6917104363441469;0,03294407207657029;214,6;9,502631214563678;0,7810048580169677;0,02794164109596394;80,2;5,069516742254631;0,8172145247459411;0,03888843408179944;26,2;5,357238094391549;0,8002164602279663;0,13117936036752043;6,2;3,1144823004794873
citeseer;set_transformer;sab;5;0,7225225090980533;0,019063736682891352;0,6423215355908463;0,018123465312456184;0,6988490726674398;0,019486476664747787;0,9300448656082153;0,03332093068657201;0,7495495676994324;0,027977933488078817;9,2;0,8366600265340752;1264262,0;0,0;567,2545047640017;3,9864553908657765;0,394609603603021;0,00134052348137701;1,185013824633698;0,004025596040170512;0,48000000119209296;0,1594913783299317;5,8;2,04939015319192;0,6982443451881408;0,027028889892179598;214,6;9,502631214563678;0,7758433461189271;0,03022340787163588;80,2;5,069516742254631;0,7814421176910399;0,046927055485213164;26,2;5,357238094391549;0,8002164602279663;0,13117936036752043;6,2;3,1144823004794873
synthetic;deepset;default;5;0,7699699759483336;0,02499899095684363;0,7696107503035592;0,025283265505545653;0,769487709508604;0,025437045743923446;0,47462584376335143;0,050503120936849895;0,7735735893249515;0,018584671741603827;8,4;13,277801022759755;35458,0;0,0;58,72713975460066;0,4388651803660296;0,05987778480011914;0,0011021296757796;0,1798131675679254;0,003309698726064799;;;0,0;0,0;;;0,0;0,0;;;0,0;0,0;0,7699699759483336;0,02499899095684363;333,0;0,0;;;0,0;0,0
synthetic;janossy_gru;inference_permutations_1;5;0,7663663744926452;0,019275453155229594;0,7660356194133502;0,019192746269964332;0,7660782948812142;0,019177007935784928;0,5065810203552246;0,07811839613649263;0,7711711883544924;0,01111516185731872;6,6;4,560701700396552;118018,0;0,0;236,66385821139903;1,7057442707940547;0,26752545700001085;0,0038039338907695243;0,8033797507507832;0,01142322489720562;;;0,0;0,0;;;0,0;0,0;;;0,0;0,0;0,7663663744926452;0,019275453155229594;333,0;0,0;;;0,0;0,0
synthetic;janossy_gru;inference_permutations_10;5;0,7741741776466372;0,024799790074752415;0,7740035658702058;0,02492498787870691;0,7739543871111543;0,0250084011401498;0,47160548567771904;0,06448260899358395;0,7687687873840332;0,015312361784805472;10,4;5,683308895353129;118018,0;0,0;356,113408026201;3,4258494958839583;2,6469657018002204;0,051672073041384894;7,948845951352008;0,15517139051467058;;;0,0;0,0;;;0,0;0,0;;;0,0;0,0;0,7741741776466372;0,024799790074752415;333,0;0,0;;;0,0;0,0
synthetic;janossy_gru;inference_permutations_20;5;0,7777777910232546;0,025481310260110312;0,7776476933089798;0,025636080333188583;0,7776224813916436;0,025700558632826276;0,4922942399978636;0,07690870448342504;0,7675675868988038;0,014495508940955802;9,0;5,70087712549569;118018,0;0,0;485,9266948992038;0,6711118270323191;5,031932522401622;0,009629558289675122;15,11090847568054;0,028917592461497423;;;0,0;0,0;;;0,0;0,0;;;0,0;0,0;0,7777777910232546;0,025481310260110312;333,0;0,0;;;0,0;0,0
synthetic;janossy_gru;inference_permutations_5;5;0,7723723769187926;0,0285206269361154;0,7722061645574066;0,02860091090710246;0,7721693584279873;0,028630557321946373;0,46760743260383625;0,04255724330373445;0,7699699878692627;0,011746303638657788;10,8;5,585696017507576;118018,0;0,0;289,0951152559996;0,8191100581189978;1,293080451001878;0,00927168704605476;3,883124477483122;0,02784290404220563;;;0,0;0,0;;;0,0;0,0;;;0,0;0,0;0,7723723769187926;0,0285206269361154;333,0;0,0;;;0,0;0,0
synthetic;pointnet_plus;centroids_16_8;5;0,7753753900527955;0,018681467561662696;0,7737096304360043;0,01934981449269394;0,7735082777805224;0,01933227358441093;0,49136415123939525;0,0413942390567921;0,778978991508484;0,018705588252872964;16,4;2,701851217221259;144002,0;0,0;424,63718424440157;2,3934247350476334;0,5156908437988019;0,002118952984846527;1,5486211525489542;0,00636322217671632;;;0,0;0,0;;;0,0;0,0;;;0,0;0,0;0,7753753900527955;0,018681467561662696;333,0;0,0;;;0,0;0,0
synthetic;pointnet_plus;centroids_4_2;5;0,7651651620864868;0,0235884100878067;0,7628990333771319;0,02657788309883713;0,7626655742566466;0,026771870327914487;0,4921665608882904;0,05812286048192675;0,7783783912658689;0,017172336257571995;17,4;4,722287581247039;144002,0;0,0;345,7090633032012;0,7900174754714703;0,3597026466013632;0,0007716431332711265;1,080188127932022;0,002317246646462217;;;0,0;0,0;;;0,0;0,0;;;0,0;0,0;0,7651651620864868;0,0235884100878067;333,0;0,0;;;0,0;0,0
synthetic;pointnet_plus;centroids_8_4;5;0,7681681752204897;0,02569279759335734;0,7650355773834095;0,028618161831193062;0,7647250131767404;0,028967643327665323;0,517162811756134;0,036030129808263305;0,778978991508484;0,01597528907049698;14,2;3,420526275297414;144002,0;0,0;389,1415910454018;3,531517580231852;0,43750319300161217;0,006381191012302203;1,313823402407242;0,019162735772680833;;;0,0;0,0;;;0,0;0,0;;;0,0;0,0;0,7681681752204897;0,02569279759335734;333,0;0,0;;;0,0;0,0
